"Artigo:","Autor:","Página:","Edição:","Categorias:","Componentes:","Notas:","Data:"
"Amplificadores Operacionais em Audio",,27,50,,,,"Agosto/1976"
"Lâmpada Mágica em 6 e 12 Volts",,31,50,,,,"Agosto/1976"
"Amplificador de 100 Watts - Darlington",,33,50,,,,"Agosto/1976"
"ORIENTAÇÃO PARA O MONTADOR",,37,50,,,,"Agosto/1976"
"Capacitores em série considerações sobre o cálculo",,40,50,,,,"Agosto/1976"
"Melhore a Recepção do se Radio Portátil",,44,50,,,,"Agosto/1976"
"Filtros contra interferências",,48,50,,,,"Agosto/1976"
"CURSO DE ELETRÔNICA (Lição 5)",,65,50,,,,"Agosto/1976"
"Ruído nas Telecomunicações (II)",,2,51,,,,"Setembro/1976"
"Reparação de TV - Cuso Senai",,10,51,,,,"Setembro/1976"
"Luz Estroboscópica",,12,51,,,,"Setembro/1976"
"Disco Calculador",,19,51,,,,"Setembro/1976"
"Anemômetro Digital (com indicador de direção do vento)",,23,51,,,,"Setembro/1976"
"Orgão Eletrônico (de brinquedo)",,31,51,,,,"Setembro/1976"
"Funçõesa Booleanas",,40,51,,,,"Setembro/1976"
"Transistores Unijunção (TUJ)",,42,51,,,,"Setembro/1976"
"Reguladores de Luz (DIMMERS)",,48,51,,,,"Setembro/1976"
"ORIENTAÇÃO PARA O MONTADOR",,58,51,,,,"Setembro/1976"
"Construa um Galvanômetro Elementar",,61,51,,,,"Setembro/1976"
"CURSO DE ELETRÔNICA (Lição 6)",,65,51,,,,"Setembro/1976"
"'Alarme e Temporizador para Autos'",,2,52,,,,"Outubro/1976"
"'COS MOS - Conceitos e Considerações'",,6,52,,,,"Outubro/1976"
"Ruído nas Telecomunicações - III",,9,52,,,,"Outubro/1976"
"As Baterias",,16,52,,,,"Outubro/1976"
"Chave de Fenda - O Segredo do Sucesso",,22,52,,,,"Outubro/1976"
"Fonte de Alimentação de 6 V,0,5A",,26,52,,,,"Outubro/1976"
"Provador Simples de SCR",,29,52,,,,"Outubro/1976"
"Fones e Microfones de Cristal",,32,52,,,,"Outubro/1976"
"ORIENTAÇÃO PARA O MONTADOR",,34,52,,,,"Outubro/1976"
"Um Pouco Sobre a Válvula 'KLYSTRON'",,36,52,,,,"Outubro/1976"
"Um Nervo Teste com Castigo",,41,52,,,,"Outubro/1976"
"Reparação de TV - Curso Senai",,46,52,,,,"Outubro/1976"
"Pré-Amplificador para Microfone",,48,52,,,,"Outubro/1976"
"Interruptor Temporizado",,51,52,,,,"Outubro/1976"
"A Potência da 'Potência'",,55,52,,,,"Outubro/1976"
"Os Amplificadores Diferenciasi",,58,52,,,,"Outubro/1976"
"CURSO DE ELETRÔNICA (Lição 7)",,65,52,,,,"Outubro/1976"
"Pré-Amplificaro RIAA de Alta Fidelidade",,2,53,,,,"Novembro/1976"
"Linhas de Transmissão",,8,53,,,,"Novembro/1976"
"COS MOS - Conceitos e Considerações II",,15,53,,,,"Novembro/1976"
"Reparaçãode TV - Curso Senai",,20,53,,,,"Novembro/1976"
"Árvore de Natal Dançante",,22,53,,,,"Novembro/1976"
"Orientaçao para o montador",,28,53,,,,"Novembro/1976"
"Um pouco sobre Sistemas Rádio",,31,53,,,,"Novembro/1976"
"O que você deve saber sobre Rádio Controle I",,36,53,,,,"Novembro/1976"
"Reforçador de Som para Rádios Portáteis",,42,53,,,,"Novembro/1976"
"Pisca-Pisca Eletrônico para 6 e 12 V (sem relê)",,47,53,,,,"Novembro/1976"
"Divisores de Frequência com Circuitos Lógicos",,54,53,,,,"Novembro/1976"
"Amplificador de 4 Watts para o Carro",,61,53,,,,"Novembro/1976"
"Curso de Eletrônica (lição 8)",,65,53,,,,"Novembro/1976"
"Micro-Transmissor de FM",,2,54,,,,"Dezembro/1976"
"COS MOS - Conceitos e Considerações III",,8,54,,,,"Dezembro/1976"
"Instalação de Auto-Rádios",,14,54,,,,"Dezembro/1976"
"Circuitos de Temporização com Portas TTL",,19,54,,,,"Dezembro/1976"
"Reparação de TV - Curso Senai",,26,54,,,,"Dezembro/1976"
"Sistemas de Alarme com SCRs",,28,54,,,,"Dezembro/1976"
"Rádio-Controle II",,34,54,,,,"Dezembro/1976"
"Orientação para o montador",,41,54,,,,"Dezembro/1976"
"Fonte de Alta Tensão Alimentada por Pilhas",,43,54,,,,"Dezembro/1976"
"Aumente os Agudos do seu Amplificador",,47,54,,,,"Dezembro/1976"
"Aplicações Para Amplificadores Operacionais",,49,54,,,,"Dezembro/1976"
"Linhas de Transmissão",,52,54,,,,"Dezembro/1976"
"PLL - Nova Apresentação de Uma Velha idéia",,58,54,,,,"Dezembro/1976"
"Curso de Eletrôonica (lição 9)",,65,54,,,,"Dezembro/1976"
"Amplificador de Audio,25 e 75 Watts",,2,55,,,,"Janeiro/1977"
"Incrementando o Som do Carango",,11,55,,,,"Janeiro/1977"
"Reparação de TV - Curso Senai",,14,55,,,,"Janeiro/1977"
"Digital: Contadores - Decodificador - Display",,16,55,,,,"Janeiro/1977"
"Orientação para o Montador",,23,55,,,,"Janeiro/1977"
"Rádio Controle - III (Receptores)",,26,55,,,,"Janeiro/1977"
"Intervalador para Limpador de Parabrisas",,33,55,,,,"Janeiro/1977"
"Antena (Diferente) para TV",,37,55,,,,"Janeiro/1977"
"Resistores: Carbono x Filme Metálico",,41,55,,,,"Janeiro/1977"
"Micro-Transmissor de FM - II",,48,55,,,,"Janeiro/1977"
"COS MOS - Conceitos e Considerações",,54,55,,,,"Janeiro/1977"
"Alarme Controlado pela Luz",,59,55,,,,"Janeiro/1977"
"Curso de Eletrônica (lição 10)",,65,55,,,,"Janeiro/1977"
"Micro-transmissor de FM - parte III (conclusão)",,2,56,,,,"Março/1977"
"Pequeno amplificador de áudio 0,05 a 2,2 watts",,11,56,,,,"Março/1977"
"Reparação de TV - curso senai",,14,56,,,,"Março/1977"
"Como fazer circuitos impressos",,16,56,,,,"Março/1977"
"Contadores - decodificadores - displays (parte II)",,22,56,,,,"Março/1977"
"Provador de estao para circuitos lógicos TTL",,26,56,,,,"Março/1977"
"Rádio controle - IV",,29,56,,,,"Março/1977"
"Orientação para o montador",,34,56,,,,"Março/1977"
"Controle de velocidade para autorama e trens",,38,56,,,,"Março/1977"
"Telecomunicações - fontes de ruído externas",,44,56,,,,"Março/1977"
"Luz de emergência",,50,56,,,,"Março/1977"
"Linhas de transmissão",,55,56,,,,"Março/1977"
"Oscilador de áudio de múltiplas utilidades",,60,56,,,,"Março/1977"
"Curso de eletrônica ( lição 11)",,65,56,,,,"Março/1977"
"Gerador de áudio",,2,57,,,,"Abril/1977"
"Órgão eletrônico de duas oitavas",,7,57,,,,"Abril/1977"
"Reparação de TV - curso Senai",,14,57,,,,"Abril/1977"
"Micro-transmissor de FM",,20,57,,,,"Abril/1977"
"Alerta de velocidade máxima",,22,57,,,,"Abril/1977"
"Digital: contadores - decodificadores - displays",,28,57,,,,"Abril/1977"
"Orientação para o montador",,34,57,,,,"Abril/1977"
"Rádio controle (circuito prático)",,35,57,,,,"Abril/1977"
"Sistemas de numeração & codificação",,41,57,,,,"Abril/1977"
"Espanta mosquito eletrônico",,48,57,,,,"Abril/1977"
"Especificações para amplificadores de potência",,53,57,,,,"Abril/1977"
"Uma luz rítmica para o carro",,59,57,,,,"Abril/1977"
"Curso de eletrônica",,65,57,,,,"Abril/1977"
"Sintonizador FM c/Amplificador de 50W (Estéreo)",,2,58,,,,"Maio/1977"
"Rádio de 3 Transistores",,9,58,,,,"Maio/1977"
"Reparação de TV - Curso Senai",,18,58,,,,"Maio/1977"
"Instalação de Auto-Rádios e seus Problemas",,20,58,,,,"Maio/1977"
"Controle de Potência por Baixa Tensão",,25,58,,,,"Maio/1977"
"Rádio Controle - VI (Montagem do Receptor de 1 Canal)",,28,58,,,,"Maio/1977"
"Orientação para o montador",,33,58,,,,"Maio/1977"
"Dispositivo Digital de Sinalização",,34,58,,,,"Maio/1977"
"Memórias - I",,43,58,,,,"Maio/1977"
"Jogo da Velocidade",,50,58,,,,"Maio/1977"
"Realimentação",,56,58,,,,"Maio/1977"
"Curso de Eletrônica (lição 13)",,65,58,,,,"Maio/1977"
"Divisores de Frequência e Alto-Falantes",,2,59,,,,"Junho/1977"
"Sintonizador de FM com Amplificador de 50 W (II)",,15,59,,,,"Junho/1977"
"O Multímetro na Oficina",,25,59,,,,"Junho/1977"
"Reparação de TV - Curso Senai",,32,59,,,,"Junho/1977"
"Dispositivo Digital de Sinalização II",,34,59,,,,"Junho/1977"
"Realimentação II",,46,59,,,,"Junho/1977"
"Rádio Controle VII- Montagem do receptor de 1 Canal ( parte II)",,52,59,,,,"Junho/1977"
"Memórias II",,58,59,,,,"Junho/1977"
"Curso de Eletrônica (lição 13)",,65,59,,,,"Junho/1977"
"Disparador Sônico",,2,60,,,,"Julho/1977"
"Transformadores - Cálculo e Recuperação",,9,60,,,,"Julho/1977"
"Entre outras coisas... alarme c/ladrões - I",,16,60,,,,"Julho/1977"
"Amplificadores Operacionais - Circuitos Práticos",,27,60,,,,"Julho/1977"
"Fonte de 15 + 15V - Com transformador de 6,3 V",,30,60,,,,"Julho/1977"
"Reparação de TV - Curso Senai",,34,60,,,,"Julho/1977"
"Filtros Ativos",,36,60,,,,"Julho/1977"
"Bip-Bip Eletrônico",,43,60,,,,"Julho/1977"
"Orientação p/ montador",,48,60,,,,"Julho/1977"
"Realimentação",,49,60,,,,"Julho/1977"
"Rádio Controle VIII - Circuito de Acionamento do Servo",,55,60,,,,"Julho/1977"
"Simples Cigarra Eletrônica",,61,60,,,,"Julho/1977"
"Curso de Eletrônica (lição 15)",,65,60,,,,"Julho/1977"
"Não Grite! Use um Magafone",,2,61,,,,"Agosto/1977"
"Técnica de Sonorização Ambiente",,9,61,,,,"Agosto/1977"
"Luz Fluorescente Estroboscópica",,17,61,,,,"Agosto/1977"
"Contrua um Cortador de Isopor",,23,61,,,,"Agosto/1977"
"Entre outras coisas... Alarme contra ladrões - II",,28,61,,,,"Agosto/1977"
"Circuitos de Proteção de Fontes",,30,61,,,,"Agosto/1977"
"Orientação para o montador",,33,61,,,,"Agosto/1977"
"Realimentação - V",,34,61,,,,"Agosto/1977"
"Excitador de Nervos",,44,61,,,,"Agosto/1977"
"Fifo 'O que é?'",,52,61,,,,"Agosto/1977"
"Rádio Controle IX",,60,61,,,,"Agosto/1977"
"Curso de eletrônica (lição 16)",,65,61,,,,"Agosto/1977"
"Monte um Frequencímetro Digital (parte 1)",,2,62,,,,"Setembro/1977"
"Localizador de Metais",,2,62,,,,"Setembro/1977"
"Audio - Distorção de Fase",,11,62,,,,"Setembro/1977"
"Circuitos Integrados - Fabricação e Funcionamento - I",,16,62,,,,"Setembro/1977"
"Reparação de TV - Curso SENAI",,22,62,,,,"Setembro/1977"
"Luz Estroboscópica c/ Fluorescente",,24,62,,,,"Setembro/1977"
"Como Funciona a Saída Horizontal",,32,62,,,,"Setembro/1977"
"Rádio Controle - X",,36,62,,,,"Setembro/1977"
"Orientação para o montador",,45,62,,,,"Setembro/1977"
"Operadores Lógicos - Características",,46,62,,,,"Setembro/1977"
"Unidades de Capacitância",,56,62,,,,"Setembro/1977"
"Eliminadores de Pilhas",,58,62,,,,"Setembro/1977"
"Curso de eletrônica",,65,62,,,,"Setembro/1977"
"Amplificador Estéreo de 30 Watts para Auto",,2,63,,,,"Outrubro/1977"
"Sirene Automática de 2 tons",,16,63,,,,"Outrubro/1977"
"Rádio Controle - XI",,25,63,,,,"Outrubro/1977"
"Telecomunicações - Medidores Seletivos",,31,63,,,,"Outrubro/1977"
"Circuitos Integrados - Fabricação e Funcionamento - II (conclusão",,37,63,,,,"Outrubro/1977"
"Assinaturas - Atenção",,46,63,,,,"Outrubro/1977"
"Fonte de Alimentação para Bancada de 1,5 a 12 Volts x 1 Ampére",,47,63,,,,"Outrubro/1977"
"Operadores Lógicos - Características - II (conclusão)",,53,63,,,,"Outrubro/1977"
"Circuitos Impressos - Cuidados ao Projetar",,60,63,,,,"Outrubro/1977"
"Curso de eletrônica - Lição 18",,65,63,,,,"Outrubro/1977"
"Micro Amplificador de Áudio",,2,64,,,,"Nov/Dez/1977"
"FAST Fontes de Alimentação sem Transformador",,25,64,,,,"Nov/Dez/1977"
"Roleta Eletrônica",,32,64,,,,"Nov/Dez/1977"
"Provando Transistores com Multímetro",,37,64,,,,"Nov/Dez/1977"
"Rádio Controle - XIII",,41,64,,,,"Nov/Dez/1977"
"Rádio de 4 Transistores",,47,64,,,,"Nov/Dez/1977"
"Auto Stop - Digital",,53,64,,,,"Nov/Dez/1977"
"Pré-Amplificador para Microfones de Baixa Impedância",,62,64,,,,"Nov/Dez/1977"
"Curso de Eletrônica - Lição 19",,65,64,,,,"Nov/Dez/1977"
"Cronômetro Digital",,2,65,,,,"Janeiro/1978"
"Micro Amplificador - Outras aplicações",,14,65,,,,"Janeiro/1978"
"- Som Remoto para TV",,15,65,,,,"Janeiro/1978"
"- Luz Rítmica sem fio",,18,65,,,,"Janeiro/1978"
"- Amplificador para Violão",,22,65,,,,"Janeiro/1978"
"- Captador Telefônico",,25,65,,,,"Janeiro/1978"
"- Sinalizador Sonoro",,27,65,,,,"Janeiro/1978"
"- Amplificador para Fones",,28,65,,,,"Janeiro/1978"
"FAST - Fontes de Alimentação sem Transformador - Parte II",,32,65,,,,"Janeiro/1978"
"Indicador de Reprodução Estéreo",,39,65,,,,"Janeiro/1978"
"Divisores Programáveis de Frequência",,41,65,,,,"Janeiro/1978"
"Bebê Alerta",,48,65,,,,"Janeiro/1978"
"Auto Stop - Digital (conclusão)",,52,65,,,,"Janeiro/1978"
"Provando Componentes com Multímetro",,61,65,,,,"Janeiro/1978"
"Curso de Eletrônica - Lição 20",,65,65,,,,"Janeiro/1978"
"Relógio Despertador Digital",,2,66,,,,"Fevereiro/1978"
"Montagens - Placa de Circuito Impresso:",,12,66,,,,"Fevereiro/1978"
"- Amplificador de 5 Watts",,14,66,,,,"Fevereiro/1978"
"- Controle de Tonalidade (gravas,agudos e volume)",,16,66,,,,"Fevereiro/1978"
"- Injetor de Sinais",,18,66,,,,"Fevereiro/1978"
"- Alarme (Luz ou Umidade)",,19,66,,,,"Fevereiro/1978"
"Disparo de SCRS por REED SWITCHES",,22,66,,,,"Fevereiro/1978"
"FAST - Fontes de Alimentação sem Transformador (conclusão)",,25,66,,,,"Fevereiro/1978"
"Rádio Controle",,34,66,,,,"Fevereiro/1978"
"Contador Digital (parte I)",,38,66,,,,"Fevereiro/1978"
"Entendento o Decibel",,50,66,,,,"Fevereiro/1978"
"Ruído nas Telecomunicações (última parte)",,55,66,,,,"Fevereiro/1978"
"Alerta de Velocidade Máxima 'Oitentímetro'",,70,66,,,,"Fevereiro/1978"
"Curso de eletrônica (avaliação)",,74,66,,,,"Fevereiro/1978"
"Unidade de Éco e Reverberação",,2,67,,,,"Março/1978"
"O Microprocessador 2650 na prática",,14,67,,,,"Março/1978"
"Conversor de VHF",,21,67,,,,"Março/1978"
"Divisor de Frequência para 2 Alto-falantes",,29,67,,,,"Março/1978"
"Antenas Verticais Plano-Terra",,40,67,,,,"Março/1978"
"Jogo da Velocidade em Versão Integrada",,40,67,,,,"Março/1978"
"Ampliador de Escala para Multímetro",,46,67,,,,"Março/1978"
"Rádio Controle",,53,67,,,,"Março/1978"
"Circuitos para Música Eletrônica",,57,67,,,,"Março/1978"
"Interpretação de Diagramas",,60,67,,,,"Março/1978"
"Curso de eletrônica - lição 21",,65,67,,,,"Março/1978"
"Luzes Sequenciais",,2,68,,,,"Abril/1978"
"Amplificadores Integrados Aplicados à Comunicação",,16,68,,,,"Abril/1978"
"Triângulo Eletrônico para o Carro",,23,68,,,,"Abril/1978"
"O Retardo Negativo",,28,68,,,,"Abril/1978"
"Conheça os Medidores",,32,68,,,,"Abril/1978"
"Controle de Velocidade para Motores Elétricos",,36,68,,,,"Abril/1978"
"Semáforo Digital",,39,68,,,,"Abril/1978"
"Rádio Controle",,48,68,,,,"Abril/1978"
"Simples Radinho",,54,68,,,,"Abril/1978"
"Amplificadores Operacionais - Aplicação Prática",,60,68,,,,"Abril/1978"
"Curso de eletrônica - lição 22",,65,68,,,,"Abril/1978"
"Frequêncímetro Digital - parte 1",,2,69,,,,"Maio/1978"
"Trêmulo - Efeitos Especiais para seu Amplificador",,19,69,,,,"Maio/1978"
"Cadeado Eletrônico",,27,69,,,,"Maio/1978"
"Conheça os Amplificadores Operacionais",,34,69,,,,"Maio/1978"
"Rádio Controle",,41,69,,,,"Maio/1978"
"Construa um Circuito de Presença",,49,69,,,,"Maio/1978"
"O Seguidor de Sinais e seu Uso",,52,69,,,,"Maio/1978"
"A Recepção dos Sinais de TV e FM",,58,69,,,,"Maio/1978"
"Fonte de 12 V x 2A",,63,69,,,,"Maio/1978"
"Curso de eletrônica - lição 23",,65,69,,,,"Maio/1978"
"Amplificador Estéreo de 32 Watts",,2,70,,,,"Junho/1978"
"Tiro ao Alvo Eletrônico",,16,70,,,,"Junho/1978"
"Os VDRs - Características e Aplicações - parte 1",,26,70,,,,"Junho/1978"
"Placar Eletrônico para Jogos de Botão",,34,70,,,,"Junho/1978"
"As Fontes Ultrassônicas de Potência",,38,70,,,,"Junho/1978"
"Micro Transmissor de FM",,42,70,,,,"Junho/1978"
"Frequêncímetro Digital - Conclusão",,47,70,,,,"Junho/1978"
"Curso de eletrônica - lição 23",,65,70,,,,"Junho/1978"
"Gerador de Sinais",,2,71,,,,"Julho/1978"
"Melhoria da Relação S/N Via Divisão de Frequência",,14,71,,,,"Julho/1978"
"Órgão Eletrônico Dual Vox",,19,71,,,,"Julho/1978"
"Amplificador de Escala VCA para Multímetro",,30,71,,,,"Julho/1978"
"Uma Idéia Simples Porém ... Eficiente",,34,71,,,,"Julho/1978"
"Rádio Controle",,40,71,,,,"Julho/1978"
"Os VDRs - Características e Aplicações - Conclusão",,46,71,,,,"Julho/1978"
"Conversor de 12 para 6-9V",,52,71,,,,"Julho/1978"
"Medida de Impedância em Amplificadores",,53,71,,,,"Julho/1978"
"De Frequêncímetro a Capacímetro",,57,71,,,,"Julho/1978"
"Simples Radinho",,59,71,,,,"Julho/1978"
"Curso de eletrônica - lição 24",,65,71,,,,"Julho/1978"
"Caixa Acústica de Qualidade",,2,72,,,,"Agosto/1978"
"Misturador (Mixer) de 4 Canais",,12,72,,,,"Agosto/1978"
"Medidos de Capacitor Eletrolítico",,23,72,,,,"Agosto/1978"
"Caixa de Efeitos Sonoros",,31,72,,,,"Agosto/1978"
"Luz Estrobo-Rítmica",,39,72,,,,"Agosto/1978"
"Divisor de Frequência para 3 Canais",,47,72,,,,"Agosto/1978"
"Micro FAST",,54,72,,,,"Agosto/1978"
"Rádio Controle",,58,72,,,,"Agosto/1978"
"Curso de eletrônica - lição 25",,65,72,,,,"Agosto/1978"
"Equalizador Versátil",,2,73,,,,"Setembro/1978"
"TV a Cores - Ajuste de Convergência",,16,73,,,,"Setembro/1978"
"Simples Receptor de VHF/FM",,22,73,,,,"Setembro/1978"
"Seleção de Circuitos para Amplificadores",,34,73,,,,"Setembro/1978"
"Reforçador de Sinais para FM",,48,73,,,,"Setembro/1978"
"Multivibrador Astável - parte 1",,53,73,,,,"Setembro/1978"
"Rádio Controle",,60,73,,,,"Setembro/1978"
"Curso de eletrônica - lição 26",,65,73,,,,"Setembro/1978"
"TV-JOGO - Montagem Prática",,2,74,,,,"Outubro/1978"
"Novo efeito Dinâmico em Som",,18,74,,,,"Outubro/1978"
"Torneira Eletrônica",,30,74,,,,"Outubro/1978"
"Gerador de Rítimos Musicais - Ritmobox",,37,74,,,,"Outubro/1978"
"Detector de Mentiras",,47,74,,,,"Outubro/1978"
"Curso de Eletrônica - liçao 27 - Nervo Teste - Fonte de Alimentação Experimental",,65,74,,,,"Outubro/1978"
"- Circuito de Constante de Tempo",,65,74,,,,"Outubro/1978"
"Central Individual de Som",,2,75,,,,"Novembro/1978"
"1.000 Sons - A Super Sirene",,14,75,,,,"Novembro/1978"
"Telecomunicações - Sistema PCM",,24,75,,,,"Novembro/1978"
"Rádio Controle",,32,75,,,,"Novembro/1978"
"Multivibrador Astável - parte 2",,42,75,,,,"Novembro/1978"
"Agenda Eletrônica",,50,75,,,,"Novembro/1978"
"Rádio de 5 Transistores",,56,75,,,,"Novembro/1978"
"Curso de Eletrônica - lição 28",,65,75,,,,"Novembro/1978"
"TV Arma",,2,76,,,,"Dezembro/1978"
"Estroboscópica Fluorescente",,14,76,,,,"Dezembro/1978"
"Um Funcionamento perfeito para o seu TV Jogo",,24,76,,,,"Dezembro/1978"
"Conhecendo Potenciômetros",,30,76,,,,"Dezembro/1978"
"Analizador Eletrônico de Motores",,41,76,,,,"Dezembro/1978"
"Monte um Dado Digital",,51,76,,,,"Dezembro/1978"
"Protegendo Diodos Contra Transientes",,55,76,,,,"Dezembro/1978"
"Redução da Luminosidade de Lâmpadas Incandescentes",,59,76,,,,"Dezembro/1978"
"Curso de Eletrônica - lição 29",,65,76,,,,"Dezembro/1978"
"Mixer",,2,77,,,,"Janeiro/1979"
"Ping Pong Eletrônico",,16,77,,,,"Janeiro/1979"
"Gerador de Ruídos de Chuva",,24,77,,,,"Janeiro/1979"
"Bip Bip Eletrônico",,30,77,,,,"Janeiro/1979"
"Transmissão de Dados por Fibras Óticas",,36,77,,,,"Janeiro/1979"
"Sistemas de Segurança (Alarmes,Sensores,Detetores,etc.)",,46,77,,,,"Janeiro/1979"
"Controle de Tom com Pré-Amplificador",,51,77,,,,"Janeiro/1979"
"Rádio Controle",,57,77,,,,"Janeiro/1979"
"Curso de eletrônica - lição 30",,65,77,,,,"Janeiro/1979"
"Strobo-Lux",,2,78,,,,"Fevereiro/1979"
"Leslie - Um 'Novo'Efeito para o seu Som",,13,78,,,,"Fevereiro/1979"
"TTL Não Lineares - Características dos Principais Tipos",,21,78,,,,"Fevereiro/1979"
"Ampliador de Sinais para AM e FM",,33,78,,,,"Fevereiro/1979"
"Provador de SCRs",,39,78,,,,"Fevereiro/1979"
"Capacímetro com Multímetro",,45,78,,,,"Fevereiro/1979"
"Fonte Regulada com SCR",,51,78,,,,"Fevereiro/1979"
"As Cinco Fases de um Projeto",,56,78,,,,"Fevereiro/1979"
"Rádio Controle",,58,78,,,,"Fevereiro/1979"
"Curso de eletrônica - Lição 31",,65,78,,,,"Fevereiro/1979"
"Dado Eletrônico",,2,79,,,,"Março/1979"
"Transfersom - Mini-Transmissor de FM Sem Alimentação",,13,79,,,,"Março/1979"
"Amplificador Estéreo de 24 W para o Carro",,25,79,,,,"Março/1979"
"TTL não Lineares - Características dos Principais Tipos - Parte 2",,36,79,,,,"Março/1979"
"Pré-amplificador com Ganho Automático",,46,79,,,,"Março/1979"
"Rádio Controle",,53,79,,,,"Março/1979"
"Curso de Eletrônica - lição 32",,65,79,,,,"Março/1979"
"Mini-Central de Jogos Eletrônicos",,2,80,,,,"Abril/1979"
"'Descubra' Seu Fone",,15,80,,,,"Abril/1979"
"Adaptador Estereofônico para Fones",,18,80,,,,"Abril/1979"
"Som Remoto para TV",,20,80,,,,"Abril/1979"
"Espião Eletrônico - Escuta Remota",,21,80,,,,"Abril/1979"
"Amplificador para Fones",,23,80,,,,"Abril/1979"
"TTL Não Lineares,Características dos Principais tipos - parte 3",,30,80,,,,"Abril/1979"
"Mini-Transmissor PX",,44,80,,,,"Abril/1979"
