"Artigo:","Autor:","Página:","Edição:","Categorias:","Componentes:","Notas:","Data:"
"Os circuitos integrados (Parte 3)",,3,16,,,,
"Cartas",,18,16,,,,
"Truques & dicas",,22,16,,,,
"Arquivo técnico",,33,16,,,,
"Termostato de precisão",,38,16,,,,
"Barreira invisível de segurança",,45,16,,,,
"Os circuitos integrados (Parte 4) Conhecendo o 555",,3,17,,,,
"Cartas",,20,17,,,,
"Truques & Dicas: A matriz de contatos (2)",,24,17,,,,
"Arquivo técnico",,35,17,,,,
"O 'Dedômetro' do leitor/'aluno'",,39,17,,,,
"Iluminação temporizada para escadas e corredores",,43,17,,,,
"Protetor intermitente para veículos",,49,17,,,,
"Os circuitos integrados (Parte 5) Conhecendo o 555",,3,18,,,,
"Cartas",,15,18,,,,
"Truques e dicas: Manuseando integrados",,19,18,,,,
"Arquivo Técnico: Coletânea 555",,30,18,,,,
"PGD: Pra Ganhar Dinheiro",,38,18,,,,
"Alarme temporizado para portas e janelas",,43,18,,,,
"Os circuitos integrados (Parte 6) – Os circuitos integrados de potência para amplificação de áudio",,3,19,,,,
"Cartas",,17,19,,,,
"Truques & dicas – Dados sobre dissipação",,21,19,,,,
"Arquivo técnico – Os integrados de áudio",,33,19,,,,
"PGB para ganhar dinheiro – Conversor de 12VCC para 6 ou 9 Vcc",,38,19,,,,
"Mini-sirene de potência automática",,46,19,,,,
"Temporizador de utilização telefônica",,50,19,,,,
"Os circuitos integrados (Parte 7) Os integrados digitais",,3,20,,,,
"Cartas",,18,20,,,,
"Truques e dicas: Detalhes importantes sobre os integrados da 'família' C-MOS",,22,20,,,,
"Arquivo técnico: Tabela/Relação dos principais integrados",,33,20,,,,
"Experiências Digitais",,37,20,,,,
"Micro-Provador Digital",,42,20,,,,
"Eletroscópio digital",,46,20,,,,
