"Artigo:","Autor:","Página:","Edição:","Categorias:","Componentes:","Notas:","Data:"
"Pisca noturno automático para porta de garagem",,13,40,,,,
"Chave de aproximação (capacitiva)",,16,40,,,,
"Micro sintonizador de FM",,19,40,,,,
"Sensível receptor de AM",,22,40,,,,
"Mini sirene dupla",,25,40,,,,
"Termômetro bargraph (resolução 10o)",,33,40,,,,
"Baterímetro automotivo (Semáforo)",,36,40,,,,
"Monitor de tensão",,38,40,,,,
"Eletroscópio oscilante",,40,40,,,,
"Ionizador simplificado",,42,40,,,,
"Campainha 2 tons (baixo custo)",,46,40,,,,
"Circuitim especial",,49,40,,,,
"Speed Light circular",,7,41,,,,
"Proteção para carro com segredo digital",,12,41,,,,
"Módulo gerador de sons complexos",,18,41,,,,
"Sensor de potência por toque/aproximação",,26,41,,,,
"Alarme universal mini-max",,34,41,,,,
"Testa dolar",,45,41,,,,
"Pernilongo pentelho",,50,41,,,,
"Potenciômetro temporizador (módulo industrial)",,55,41,,,,
"Sineta eletrônica para campainha residencial ou telefone",,7,42,,,,
"Alarme automotivo sem sensor",,12,42,,,,
"Especial - Os fotosensores, na prática",,18,42,,,,
"Excitador muscular (massageador eletronico II)",,26,42,,,,
"Pisca LED de potência",,34,42,,,,
"Poderosa sirene 'Di-Dá'",,39,42,,,,
"Super transmissor FM",,49,42,,,,
"Módulo amplificador em ponte (35W)",,55,42,,,,
"Tesômetro",,8,43,,,,
"Frequencímetro digital",,12,43,,,,
"Barreira Infra-vermelho (profissional)",,20,43,,,,
"Testa cabo-plugue",,28,43,,,,
"Analisador de contatos",,34,43,,,,
"Barra-pisca'",,38,43,,,,
"Quadro de chamada (profissional)",,42,43,,,,
"Audio-chave multiuso",,57,43,,,,
"Micro provador dinâmico para transístores",,7,44,,,,
"Receptor experimental multi-faixas",,12,44,,,,
"Pulseira de Super-Heróis",,18,44,,,,
"Módulo industrial para temporização sequencial ou em anel",,22,44,,,,
"Parquimetro eletrônico portátil com pré-Alarme",,30,44,,,,
"Detetor de campos eletro-magnéticos",,39,44,,,,
"Máquina anti-gravidade",,46,44,,,,
"Módulo Ritmico-luminoso para carro",,8,45,,,,
"Dimmer profissional (para instaladores)",,14,45,,,,
"Luz de freio super-máquina",,19,45,,,,
"On-Off por toque, de potencia (5-15v x 1A)",,27,45,,,,
"Captador amplificado (especial para violões)",,34,45,,,,
"Multi-sensor eletrônico de potencia (reversível)",,39,45,,,,
"Super-alarme universal para carro",,51,45,,,,
"Instruções gerais para as montagens",,2,46,,,,
"Correio técnico",,4,46,,,,
"Mãe automática",,8,46,,,,
"Controle remoto infra-vermelho de potência (Liga-desliga)",,14,46,,,,
"Manopla eletrônica para automodelismo ferromodelismo",,22,46,,,,
"Escutador' experimental MBF",,27,46,,,,
"Experimentador de alta tensão (gerador de raiso)",,34,46,,,,
"Trilux",,41,46,,,,
"Iluminação automática para áreas externas",,51,46,,,,
"Simulador de atendimento telefônico",,58,46,,,,
"Instruções gerais para as montagens",,2,47,,,,
"Correio técnico",,4,47,,,,
"2 Caixinhas de música eletrônica",,8,47,,,,
"Dado automático",,15,47,,,,
"Mobilight",,20,47,,,,
"3 Guitarras e 1 Amplificador",,26,47,,,,
"Mini Intercomunicador",,39,47,,,,
"Micro sirene de polícia II",,50,47,,,,
"Duplo Alarme de temperatura industrial",,55,47,,,,
"Dimmer de controle remoto",,7,48,,,,
"Ganhômetro para transístores",,15,48,,,,
"Super ouvido ultra-Sonico",,22,48,,,,
"Amplificador de antena (FM) para veículos",,28,48,,,,
"Monitor de áudio para linha telefônica",,34,48,,,,
"Temporizador automático para chamadas telefônicas",,45,48,,,,
"Gerador de 'ruído branco'",,50,48,,,,
"Ponta de prova termométrica para multímetro digital",,60,48,,,,
"Chave eletro-magnética (através da porta)",,7,49,,,,
"Sensor de tensão por proximidade",,14,49,,,,
"Alarme de toque (CA) para maçaneta",,18,49,,,,
"Mordomo automático",,22,49,,,,
"Promoção - Presentes da Ceteisa para os melhores 'leiautistas' de circuitos impressos",,27,49,,,,
"Sensor de metais próximos",,34,49,,,,
"Microfone sem fio AM",,46,49,,,,
"Novidade industrial - Semáforo de LEDs",,52,49,,,,
"Tomada (Múltipla) com indicador de tensão",,61,49,,,,
"Correio técnico",,4,50,,,,
"Vuscópio",,8,50,,,,
"Baterímetro 'semáforo'",,14,50,,,,
"Novidade industrial",,18,50,,,,
"Relógio despertador digital simplificado",,20,50,,,,
"Bastão musical",,26,50,,,,
"Anti-Multa (Alerta de velocidade máxima para carro)",,34,50,,,,
"Ou dá, ou desde...",,44,50,,,,
"Super promoção Patola",,56,50,,,,
"Módulo divisor ativo",,60,50,,,,
"Correio técnico",,4,51,,,,
"Sirenão automático",,8,51,,,,
"Simples e sensível alarme de toque",,12,51,,,,
"Fonte regulável estabilizada para laboratório",,16,51,,,,
"Cronômetro digital para laboratório fotográfico",,22,51,,,,
"Medidor de sinal para PX",,28,51,,,,
"Cardio-Monitor experimental",,34,51,,,,
"Sineta de 3 tons para chamada",,39,51,,,,
"Módulo de relógito digital (MCDM1924K)",,50,51,,,,
"Super promoção LCV instrumentos",,52,51,,,,
"Voltímetro digital em barra de LEDs",,7,52,,,,
"Especial - É o ABC do PC!",,12,52,,,,
"Disfarçador de voz para telefone",,18,52,,,,
"Termostato industrial de precisão e potência",,22,52,,,,
"Rádio pirata FM",,30,52,,,,
"Conversor 12 para 3Vcc",,37,52,,,,
"Micro-temporizador de potência (programável)",,53,52,,,,
"Correio técnico",,4,54,,,,
"Ignição eletrônica simplificada",,8,54,,,,
"Relógio digital com módulo nacionalizado",,14,54,,,,
"Strobo-Ponto",,20,54,,,,
"Controle remoto conjugado",,26,54,,,,
"Premiados ICEL",,34,54,,,,
"Ignoscópio",,35,54,,,,
"3a Parte - É o ABC do PC",,46,54,,,,
"Phaser simplificado",,59,54,,,,
"Correio",,4,55,,,,
"Termômetro digital",,8,55,,,,
"Campainha luminosa para telefone",,16,55,,,,
"Amplifinho",,20,55,,,,
"Módulo de percussão eletrônica (ampliável)",,26,55,,,,
"Compressor/Expansor de sinais (multi uso)",,39,55,,,,
"ABC do PC",,49,55,,,,
"Controle de volume por toque",,60,55,,,,
"Tabelão APE",,2,56,,,,
"Balancê",,4,56,,,,
"Micro temporizador reversível (industrial/universal)",,8,56,,,,
"Alarme sensível a ruídos e vibrações",,14,56,,,,
"Ponta lógica CMOS (baixo custo)",,20,56,,,,
"Correio técnico",,24,56,,,,
"ABC da Eletrônica - aula 21",,27,56,,,,
"Teoria - Os circuitos integrados (parte 8(",,27,56,,,,
"Prática - Simples controle por toque",,41,56,,,,
"ABC do PC (5a parte)",,54,56,,,,
"Luz noturna automática (profissional)",,68,56,,,,
"Tabelão APE",,2,57,,,,
"Triângulo luminoso para carro",,4,57,,,,
"Iluminação permanente de segurança",,8,57,,,,
"Super sirene para alarme 2",,16,57,,,,
"Mini Walkman AM",,22,57,,,,
"ABC da eletrônica - aula 22",,27,57,,,,
"Teoria - Os circuitos integrados",,27,57,,,,
"Prática - Joguinho de cara ou coroa",,36,57,,,,
"Correio técnico",,44,57,,,,
"ABC do PC (6a parte)",,48,57,,,,
"Duende noturno",,62,57,,,,
"Lanterna automática para carro",,4,58,,,,
"Gravador universal para chamadas telefônicas",,8,58,,,,
"Correio técnico",,16,58,,,,
"Barreira infra-vermelho sintonizada",,19,58,,,,
"Os circuitos integrados (parte 10)",,27,58,,,,
"Lampejador de potência",,33,58,,,,
"Sequencial (20 LEDs) ultra-simples",,43,58,,,,
"Micro sinalizador para portas",,52,58,,,,
"ABC do PC (7a Parte)",,57,58,,,,
"Tabelão APE",,2,59,,,,
"Seta Sequencial elevada para veículos",,4,59,,,,
"Alarme profissional para fusíveis e disjuntores ",,10,59,,,,
"Chave de ignição secreta por toque",,16,59,,,,
"Multi segurança ótica",,20,59,,,,
"ABC da Eletrônica - Aula 24 - Teoria - Os circuitos integrados",,27,59,,,,
"ABC da Eletrônica - Aula 24 - Prática - O tic-tac perpétuo",,35,59,,,,
"Correio técnico",,45,59,,,,
"ABC do PC (8a Parte)",,50,59,,,,
"Transmissor permanente de FM",,58,59,,,,
"Tabelão APE",,2,62,,,,
"Circuito mini-max carregador para bateria de níquel-cádmio",,4,62,,,,
"Micro Mixer para guitarra/microfone",,8,62,,,,
"Relax...",,14,62,,,,
"Sorteador eletrônico para bingo",,19,62,,,,
"ABC da Eletrônica - Aula 27 - teoria - Os circuitos integrados",,27,62,,,,
"ABC da Eletrônica - Aula 27 - Prática - Mini-ritmica digital",,36,62,,,,
"Correio técnico",,47,62,,,,
"ABC do PC",,52,62,,,,
"Especial",,58,62,,,,
"Orelhão",,60,62,,,,
"Tabelão APE",,2,64,,,,
"Sensor de segurança contra incêndio",,4,64,,,,
"Mini-transmissor AM",,10,64,,,,
"Correio técnico",,19,64,,,,
"Identificador rápido para transistores",,22,64,,,,
"ABC da eletrônica teoria: O som e a eletrônica (parte 2)",,27,64,,,,
"ABC da eletrônica - Prática: Campainha residencial",,38,64,,,,
"Circuito mini-max Telefone de brinquedo 2",,48,64,,,,
"ABC do PC",,54,64,,,,
"Gerador de barras para TV",,60,64,,,,
"Tabelão APE",,2,65,,,,
"Sistema de sensores remotos para alarme",,4,65,,,,
"Pisca-pisca foto controlado",,10,65,,,,
"Circuito mini-max barato indicador de temperatura",,16,65,,,,
"Chaveador eletrônico para antenas (VHF)",,22,65,,,,
"Sensível chave de toque resistiva",,26,65,,,,
"ABC da eletrônica - Teoria: O Som e a eletrônica (Parte 3",,31,65,,,,
"ABC da eletrônica - Prática: Milivoltímetro de áudio",,44,65,,,,
"Correio técnico",,56,65,,,,
"ABC do PC",,60,65,,,,
"Medidor de força ('braço de ferro eletrônico')",,68,65,,,,
"Tabelão APE",,2,66,,,,
"Alarme remoto por rádio (FM)",,4,66,,,,
"Fone sem fio (infra-vermelho)",,10,66,,,,
"Aparelho de surdez (baixo custo)",,18,66,,,,
"Guitarra 'soluçante'",,22,66,,,,
"ABC da Eletrônica - Teoria - O som e a eletrônica (Parte 4)",,27,66,,,,
"ABC da Eletrônica - Prática: Sensível pré amplificador multi uso",,38,66,,,,
"ABC do PC",,48,66,,,,
"Simples e preciso termo monitor",,55,66,,,,
"Correio técnico",,61,66,,,,
"Tabelão APE",,2,68,,,,
"O (Mau) gênio da garrafa",,4,68,,,,
"Espião de áudio (via rede CA)",,10,68,,,,
"Só eu ligo...",,18,68,,,,
"Correio técnico",,24,68,,,,
"ABC da Eletrônica - Teoria - O som e a eletrônica (Parte 6)",,27,68,,,,
"ABC da Eletrônica - Prática - Vigilux (utilidade eletrônica para o carro)",,34,68,,,,
"Seção escolas",,38,68,,,,
"Cubão Dói-Dói",,46,68,,,,
"Novo alarme de toque/aproximação para maçaneta",,54,68,,,,
"ABC do PC",,59,68,,,,
"Tabelão APE",,2,70,,,,
"Simulador de presença (inteligente e economico)",,4,70,,,,
"Módulo para intercom-3",,12,70,,,,
"ABC do PC",,18,70,,,,
"Mini amplificador de estudo para guitarra",,24,70,,,,
"Correio técnico",,28,70,,,,
"ABC da Eletrônica - Teoria: O som e a eletrônica (Parte 8)",,35,70,,,,
"ABC da Eletrônica - Prática - Orientador de recepção telegráfica",,42,70,,,,
"Módulo medidor de intensidade de campo para multímetro",,52,70,,,,
"Automático (com indicador) para bomba dágua",,60,70,,,,
"Brake-light super máquina 3",,4,84,,,,
"Acionador remoto para o CLAP",,10,84,,,,
"Sinaleiro musical para caminhão de gás",,16,84,,,,
"Alarme de sobre-temperatura (circuito mini-max)",,22,84,,,,
"Correio técnico",,28,84,,,,
"ABC da Eletrônica C.D.E parte 9",,32,84,,,,
"Pisca alerta fluorescente (12VCC)",,4,85,,,,
"Interruptor de toque momentâneo (alta potência)",,9,85,,,,
"Alta voz (amplificador eletrônico)",,16,85,,,,
"Corrida dos bêbados",,22,85,,,,
"Correio técnico",,33,85,,,,
"ABC da Eletrônica C.D.E parte 10",,38,85,,,,
